Date,ABB,Assa Abloy,AstraZeneca,Carlsberg,Coloplast,Danske Bank,Elisa,Ericsson,Fortum,Genmab,Hennes & Mauritz,Hexagon,Investor,Nokia,Nordea,Novo Nordisk,Sampo,SCA,SEB,SKF,Stora Enso,Svenska Handelsbanken,Swedbank,Swedish Match,Tele2,UPM-Kymmene,Volvo
2002-10-14,2.940000057220459,27.5,18.299999237060547,52.0,54.900001525878906,111.50696563720703,4.650000095367432,21.200000762939453,4.502425193786621,31.700000762939453,81.5,1.395063042640686,12.425000190734863,14.479999542236328,26.86286163330078,20.5,6.24301290512085,19.411479949951172,39.86481857299805,53.25,9.739999771118164,37.0,78.58026123046875,6.300000190734863,34.088104248046875,14.899999618530273,27.100000381469727
2002-10-15,3.240000009536743,31.16666603088379,18.299999237060547,52.5,54.400001525878906,115.6711196899414,5.0,24.100000381469727,4.442691802978516,31.899999618530273,84.5,1.506173014640808,12.875,15.619999885559082,28.809444427490234,21.299999237060547,6.047918796539307,20.057395935058594,43.979896545410156,60.0,10.619999885559082,39.83333206176758,81.88890075683594,6.5,38.30394744873047,15.399999618530273,28.799999237060547
2002-10-16,3.069999933242798,31.0,17.625,50.70000076293945,54.400001525878906,114.28307342529297,5.099999904632568,22.0,4.509891986846924,31.0,83.75,1.5432100296020508,12.75,15.0,28.809444427490234,21.75,6.340559959411621,19.853422164916992,43.20832061767578,58.875,10.229999542236328,39.166664123535156,81.88890075683594,6.449999809265137,37.581233978271484,15.225000381469727,27.799999237060547
2002-10-17,3.25,31.66666603088379,18.665000915527344,48.70000076293945,56.20000076293945,115.6711196899414,5.400000095367432,24.799999237060547,4.480024814605713,31.799999237060547,84.0,1.5432100296020508,13.125,16.600000381469727,27.875085830688477,21.649999618530273,6.340559959411621,19.343488693237305,41.665164947509766,59.625,10.869999885559082,37.33333206176758,79.82099914550781,6.5,40.59254837036133,16.049999237060547,28.899999618530273
2002-10-18,3.509999990463257,33.166664123535156,18.674999237060547,48.0,55.599998474121094,118.44722747802734,5.070000171661377,28.5,4.517358779907227,30.5,83.75,1.5185199975967407,13.25,16.389999389648438,28.264402389526367,22.25,6.340559959411621,19.92141342163086,42.69393539428711,59.625,11.449999809265137,36.83333206176758,82.30248260498047,6.75,41.43571853637695,16.299999237060547,29.5
2002-10-21,2.5,31.66666603088379,18.559999465942383,48.400001525878906,55.70000076293945,116.13380432128906,4.78000020980835,31.0,4.517358779907227,30.5,85.0,1.506173014640808,13.375,16.719999313354492,29.354488372802734,22.200000762939453,6.6819748878479,19.853422164916992,42.17955017089844,59.875,10.789999961853027,38.33333206176758,80.64816284179688,6.75,41.6766242980957,15.5,29.200000762939453
2002-10-22,1.5099999904632568,31.333332061767578,18.25,45.5,55.0,114.28307342529297,5.150000095367432,30.25,4.487492084503174,30.0,86.25,1.506173014640808,12.75,16.299999237060547,29.27662467956543,21.950000762939453,6.486879825592041,19.785432815551758,41.150779724121094,58.375,11.15999984741211,38.33333206176758,81.0617446899414,7.099999904632568,42.88114929199219,16.200000762939453,28.299999237060547
2002-10-23,1.3200000524520874,28.833332061767578,18.200000762939453,45.29999923706055,54.70000076293945,110.58159637451172,5.159999847412109,28.25,4.5696258544921875,29.799999237060547,85.0,1.4938260316848755,12.300000190734863,16.290000915527344,28.264402389526367,21.100000381469727,6.535654067993164,19.445476531982422,38.578857421875,56.875,10.760000228881836,36.33333206176758,79.40742492675781,7.199999809265137,44.44703674316406,15.949999809265137,28.0
2002-10-24,1.2699999809265137,30.16666603088379,17.975000381469727,47.5,55.0,110.58159637451172,5.210000038146973,31.75,4.480024814605713,30.0,85.5,1.4814800024032593,12.625,16.149999618530273,29.82166862487793,20.700000762939453,6.486879825592041,19.51346778869629,40.37920379638672,57.625,11.270000457763672,37.0,80.23458099365234,6.849999904632568,46.13337326049805,17.25,27.200000762939453
2002-10-25,1.25,29.5,18.7549991607666,48.0,54.70000076293945,110.58159637451172,5.489999771118164,33.0,4.517358779907227,29.399999618530273,84.5,1.5308630466461182,12.625,16.889999389648438,29.27662467956543,21.700000762939453,6.535654067993164,19.071523666381836,39.607627868652344,56.25,10.649999618530273,36.0,78.58026123046875,7.099999904632568,46.01292037963867,16.174999237060547,27.399999618530273
